Altersgruppe, Meldedatum, value, difference, trend
>=80, 2021-05-03, 54.2, -12.6648, -0.1704
>=80, 2021-05-04, 52.2, -13.4574, -0.181
>=80, 2021-05-05, 52.7, -11.4, -0.1534
>=80, 2021-05-06, 51.3, -9.1065, -0.1225
>=80, 2021-05-07, 49.8, -8.5163, -0.1146
>=80, 2021-05-08, 48.4, -8.0441, -0.1082
>=80, 2021-05-09, 46.8, -7.808, -0.105
>=80, 2021-05-10, 46.6, -7.7237, -0.1039
>=80, 2021-05-11, 45.7, -5.9361, -0.0799
>=80, 2021-05-12, 43, -8.3982, -0.113
>=80, 2021-05-13, 40.8, -9.8485, -0.1325
>=80, 2021-05-14, 37.1, -11.9903, -0.1613
>=80, 2021-05-15, 33.7, -14.25, -0.1917
>=80, 2021-05-16, 32.9, -13.7104, -0.1844
>=80, 2021-05-17, 32.9, -13.5586, -0.1824
>=80, 2021-05-18, 31.9, -13.7947, -0.1856
>=80, 2021-05-19, 29.6, -12.766, -0.1717
>=80, 2021-05-20, 28.3, -11.653, -0.1568
>=80, 2021-05-21, 27.4, -8.7355, -0.1175
>=80, 2021-05-22, 27.6, -6.5095, -0.0876
>=80, 2021-05-23, 25.3, -7.555, -0.1016
>=80, 2021-05-24, 23.7, -9.3932, -0.1264
>=80, 2021-05-25, 21.6, -10.287, -0.1384
>=80, 2021-05-26, 18.8, -10.8941, -0.1466
>=80, 2021-05-27, 16.4, -12.024, -0.1618
>=80, 2021-05-28, 16, -11.8385, -0.1593
>=80, 2021-05-29, 14.3, -12.5974, -0.1695
>=80, 2021-05-30, 13.6, -11.1808, -0.1504
>=80, 2021-05-31, 13.1, -9.916, -0.1334
>=80, 2021-06-01, 13.5, -7.9429, -0.1069
>=80, 2021-06-02, 13.2, -4.7219, -0.0635
>=80, 2021-06-03, 11.9, -3.5246, -0.0474
>=80, 2021-06-04, 9.9, -5.7675, -0.0776
>=80, 2021-06-05, 9, -4.6882, -0.0631
>=80, 2021-06-06, 8.4, -4.8231, -0.0649
>=80, 2021-06-07, 8.4, -4.5027, -0.0606
>=80, 2021-06-08, 8.2, -4.7556, -0.064
>=80, 2021-06-09, 7.8, -5.2616, -0.0708
>=80, 2021-06-10, 7.2, -4.5027, -0.0606
>=80, 2021-06-11, 6.6, -2.8669, -0.0386
>=80, 2021-06-12, 6.3, -2.6308, -0.0354
>=80, 2021-06-13, 5.7, -2.6814, -0.0361
>=80, 2021-06-14, 5.2, -3.0692, -0.0413
>=80, 2021-06-15, 4.9, -3.2379, -0.0436
>=80, 2021-06-16, 4.4, -3.3222, -0.0447
>=80, 2021-06-17, 3.8, -3.2042, -0.0431
>=80, 2021-06-18, 3.4, -3.2379, -0.0436
>=80, 2021-06-19, 2.9, -3.474, -0.0467
>=80, 2021-06-20, 2.7, -2.9175, -0.0392
>=80, 2021-06-21, 2.6, -2.6814, -0.0361
>=80, 2021-06-22, 2.3, -2.597, -0.0349
>=80, 2021-06-23, 2, -2.3272, -0.0313
>=80, 2021-06-24, 1.8, -2.0405, -0.0275
>=80, 2021-06-25, 1.6, -1.8044, -0.0243
>=80, 2021-06-26, 1.7, -1.1299, -0.0152
>=80, 2021-06-27, 1.6, -1.2479, -0.0168
>=80, 2021-06-28, 1.5, -1.1805, -0.0159
>=80, 2021-06-29, 1.6, -0.7251, -0.0098
>=80, 2021-06-30, 1.4, -0.7251, -0.0098
>=80, 2021-07-01, 1.4, -0.4722, -0.0064
>=80, 2021-07-02, 1.3, -0.2192, -0.0029
>=80, 2021-07-03, 1.2, -0.5228, -0.007
>=80, 2021-07-04, 1.2, -0.3204, -0.0043
>=80, 2021-07-05, 1.2, -0.3204, -0.0043
